SeriesName,LookupTicker,Type,Index,Source,StartRange,EndRange,Frequency
AUDUSD,QUANDL/AUDUSD,FX,AUDUSD,Quandl,2005-01-01,2005-01-02,d
JPYUSD,QUANDL/JPYUSD,FX,JPYUSD,Quandl,2005-01-01,2005-01-02,d
GBPUSD,QUANDL/GBPUSD,FX,GBPUSD,Quandl,2005-01-01,2005-01-02,d
EURUSD,QUANDL/EURUSD,FX,EURUSD,Quandl,2005-01-01,2005-01-02,d
CHFUSD,QUANDL/CHFUSD,FX,CHFUSD,Quandl,2005-01-01,2005-01-02,d
CADUSD,QUANDL/CADUSD,FX,CADUSD,Quandl,2005-01-01,2005-01-02,d
AUDUSDFutures_Front,OFDP/FUTURE_AD1,FXFutures,AUDUSD,Quandl,2005-01-01,2005-01-02,d
EURUSDFutures_Front,OFDP/FUTURE_EC1,FXFutures,EURUSD,Quandl,2005-01-01,2005-01-02,d
JPYUSDFutures_Front,OFDP/FUTURE_JY1,FXFutures,JPYUSD,Quandl,2005-01-01,2005-01-02,d
GBPUSDFutures_Front,OFDP/FUTURE_BP1,FXFutures,GBPUSD,Quandl,2005-01-01,2005-01-02,d
CHFUSDFutures_Front,OFDP/FUTURE_SF1,FXFutures,CHFUSD,Quandl,2005-01-01,2005-01-02,d
